Page name,Measured loading time [ms]
@sms_w_Alarmlist,654.8
SPM#12-01-00_n_#GEN-OverviewCoilTracking,286.56
SPM#06-01-00_n_#SAF-OverviewFloor,253.4
SPM#06-02-00_n_#SAF-OverviewCellar,205.24
SAF1_n_SafetyAreaOverview,230.13
SPM#02-01-00_n_#GEN-Media,113.57
SPM#02-02-00_n_#GEN-Drives,132.88
SPM#61-01-00_w_#MED-HydraulicSystem,196.95
SPM#63-01-00_w_#MED-OilLubrication,184.03
SPM#63-02-00_w_#MED-OilAirLubrication,214.38
SPM#70-01-00_w_#MED-FumeExhaust,221.27
SPM#74-01-00_n_#MED-WetSkinPassSystem,273.13
SPM#60-01-00_w_#MED-Parameters,329.6
SPM#51-01-00_w_#DRV-PowerSupplyMain,211.41
SPM#53-01-00_w_#DRV-PowerSupplyAuxiliary,194.69
SPM#52-01-00_n_#DRV-DrivePayOffReel,197.3
SPM#52-02-00_n_#DRV-DriveStandC1,267.04
SPM#52-03-00_n_#DRV-DriveTensionReel,416.05
SPM#52-13-00_n_#DRV-DrivesBriddleRolls,218.77
SPM#52-14-00_n_#DRV-DrivesDeflectorRolls,212.15
SPM#54-01-00_n_#DRV-DrivesGroupJogging,212.24
SPM#03-02-00_n_#SPM-OverviewCoilPreparationStation,228.07
SPM#03-01-00_n_#SPM-OverviewCoilTransportEntry,279.17
SPM#03-03-00_n_#SPM-OverviewPupCoilHandling,394.22
SPM#03-10-00_n_#SPM-DeviceTestEntry,223.77
SPM#01-01-00_n_#SPM-Overview-SPM,204.89
SPM#01-02-00_n_#SPM-OverviewTrackingCorrection,401.54
SPM#01-03-00_n_#SPM-OverviewPayOffReel,279.21
SPM#01-04-00_n_#SPM-OverviewTensionReel,262.96
SPM#08-02-00_n_#SPM-SetupData,215.12
SPM#16-01-00_n_#SPM-WarmUp,233.06
SPM#16-02-00_n_#SPM-Calibration,202.96
SPM#16-03-00_n_#SPM-RollChange,313.26
SPM#16-04-00_n_#SPM-StandRollData,196.26
SPM#16-05-00_n_#SPM-DeflectorRollData,190.03
SPM#25-01-00_n_#SPM-DeviceTestMillEntry,209.28
SPM#25-02-00_w_#SPM-MillStand,209.15
SPM#25-03-00_n_#SPM-DeviceTestRollChange,162.5
SPM#25-04-00_n_#SPM-DeviceTestMillExit,218.95
SPM#25-10-00_n_#SPM-MeasurementSystems,126.18
SPM#04-02-00_n_#SPM-WalkingBeamExit,317.78
SPM#04-10-00_n_#SPM-DeviceTestExit,218.49
i8Sys_w_Environment,206.22
i8Sys_w_NodeRights,255.81
i8App_n_Connections,188.02
i8Sys_n_Information,186.4
i8Sys_w_UserRights,224.66
i8Sys_n_Database,165.8
i8Sys_n_Application,123.64
i8Sys_n_PdlStatistics,167.39
